hpi_0	hpi_0_5	hpi_2	hpi_6	hpi_18
ENSG00000000003	579	609	489	230	14
ENSG00000000005	0	0	0	0	0
ENSG00000000419	950	1045	917	426	65
ENSG00000000457	88	84	57	37	4
ENSG00000000460	242	278	190	212	26
ENSG00000000938	0	0	0	0	0
ENSG00000000971	59	77	54	18	2
ENSG00000001036	613	753	683	476	59
ENSG00000001084	724	889	872	458	77
ENSG00000001167	415	492	484	229	35
ENSG00000001460	110	94	56	8	4
ENSG00000001461	43	49	49	24	0
ENSG00000001497	1007	916	1103	764	193
ENSG00000001561	0	0	0	0	1
ENSG00000001617	214	239	212	135	5
ENSG00000001626	0	0	1	1	0
ENSG00000001629	495	512	444	297	58
ENSG00000001630	17	15	20	16	0
ENSG00000001631	327	308	335	264	33
ENSG00000002016	138	123	58	41	20
ENSG00000002079	8	9	6	0	1
ENSG00000002330	25	19	22	6	1
ENSG00000002549	821	839	892	500	36
ENSG00000002586	0	0	0	0	0
ENSG00000002587	1	3	1	2	1
ENSG00000002726	0	0	0	0	0
ENSG00000002745	3	2	0	0	1
ENSG00000002746	9	15	12	5	1
ENSG00000002822	325	346	260	154	35
ENSG00000002834	1531	1560	1492	616	82
ENSG00000002919	238	227	165	50	11
ENSG00000002933	0	0	0	0	0
ENSG00000003056	578	725	581	333	37
ENSG00000003096	548	599	607	335	39
ENSG00000003137	229	265	238	76	15
ENSG00000003147	2	2	1	0	0
ENSG00000003249	41	66	32	13	4
ENSG00000003393	256	301	267	105	12
ENSG00000003400	108	125	59	25	6
ENSG00000003402	232	286	134	72	24
ENSG00000003436	490	623	767	565	51
ENSG00000003509	126	136	140	66	16
ENSG00000003756	246	196	244	274	154
ENSG00000003987	21	29	12	12	5
ENSG00000003989	407	518	377	326	84
ENSG00000004059	1162	1280	1094	606	68
ENSG00000004139	17	11	14	1	2
ENSG00000004142	1389	1568	1223	461	21
ENSG00000004399	788	780	492	337	69
ENSG00000004455	3345	3860	2977	1282	297
ENSG00000004468	0	0	0	0	0
ENSG00000004478	2786	3173	2696	2631	451
ENSG00000004487	968	992	839	727	153
ENSG00000004534	1472	1689	1285	989	302
ENSG00000004660	377	343	174	147	51
ENSG00000004700	1687	1721	1866	1085	83
ENSG00000004766	509	493	429	383	59
ENSG00000004776	6	1	2	0	1
ENSG00000004777	23	19	14	10	1
ENSG00000004779	1420	1551	1502	924	115
ENSG00000004799	1011	1668	2366	939	48
ENSG00000004809	0	0	0	0	0
ENSG00000004838	1	7	7	4	2
ENSG00000004846	2	0	1	0	1
ENSG00000004848	0	0	0	0	0
ENSG00000004864	982	1056	1018	536	41
ENSG00000004866	205	259	200	158	22
ENSG00000004897	964	976	735	552	149
ENSG00000004939	0	1	0	0	1
ENSG00000004948	0	1	0	0	0
ENSG00000004961	984	1032	1008	515	101
ENSG00000004975	386	402	248	213	50
ENSG00000005001	0	0	0	0	0
ENSG00000005007	1252	1072	1098	731	141
ENSG00000005020	807	856	870	280	24
ENSG00000005022	1764	2106	1952	1055	92
ENSG00000005059	119	128	87	48	6
ENSG00000005073	205	228	179	75	48
ENSG00000005075	108	120	100	43	6
ENSG00000005100	1284	1398	1187	529	88
ENSG00000005102	102	91	44	28	2
ENSG00000005108	1	3	0	0	0
ENSG00000005156	636	650	510	217	53
ENSG00000005175	2978	3366	2363	1317	213
ENSG00000005187	5	0	2	0	0
ENSG00000005189	97	75	48	32	5
ENSG00000005194	370	409	287	190	25
ENSG00000005206	142	174	141	112	15
ENSG00000005238	55	65	13	17	4
