hpi_0	hpi_0_5	hpi_1	hpi_2	hpi_4
ENSG00000000003	618	711	545	498	268
ENSG00000000005	0	0	0	0	0
ENSG00000000419	2431	2321	1926	1973	1151
ENSG00000000457	154	143	93	132	181
ENSG00000000460	827	847	731	563	531
ENSG00000000938	0	0	0	0	0
ENSG00000000971	0	0	1	0	0
ENSG00000001036	546	767	605	774	459
ENSG00000001084	1094	1356	1457	2014	1288
ENSG00000001167	560	662	616	802	548
ENSG00000001460	108	99	80	46	24
ENSG00000001461	1114	784	718	646	390
ENSG00000001497	971	1046	883	1041	851
ENSG00000001561	0	0	0	0	0
ENSG00000001617	398	321	341	434	246
ENSG00000001626	0	6	2	2	2
ENSG00000001629	1170	1180	931	881	579
ENSG00000001630	58	53	57	97	24
ENSG00000001631	798	807	579	564	436
ENSG00000002016	145	107	58	73	90
ENSG00000002079	3	0	1	0	0
ENSG00000002330	63	22	22	37	31
ENSG00000002549	229	219	218	226	142
ENSG00000002586	1	0	0	0	0
ENSG00000002587	3	1	4	4	0
ENSG00000002726	0	0	0	0	0
ENSG00000002745	0	0	0	1	5
ENSG00000002746	14	28	21	10	12
ENSG00000002822	65	75	65	79	50
ENSG00000002834	1622	1860	1771	2059	830
ENSG00000002919	243	223	209	268	137
ENSG00000002933	0	0	0	0	0
ENSG00000003056	728	980	776	889	428
ENSG00000003096	481	428	334	258	146
ENSG00000003137	433	483	738	946	359
ENSG00000003147	41	34	27	30	6
ENSG00000003249	24	20	16	22	13
ENSG00000003393	394	253	169	255	243
ENSG00000003400	75	63	35	28	21
ENSG00000003402	219	245	255	332	216
ENSG00000003436	284	425	425	520	256
ENSG00000003509	128	164	103	122	68
ENSG00000003756	738	746	671	1030	788
ENSG00000003987	29	34	20	30	22
ENSG00000003989	5033	5129	4556	4793	4014
ENSG00000004059	83	89	64	109	30
ENSG00000004139	133	80	56	59	32
ENSG00000004142	2400	2309	2073	2570	815
ENSG00000004399	444	357	326	432	351
ENSG00000004455	9841	8265	7230	9102	5890
ENSG00000004468	0	0	0	0	0
ENSG00000004478	806	966	878	1133	1137
ENSG00000004487	1805	1753	1422	1523	1389
ENSG00000004534	1136	1092	931	1142	1179
ENSG00000004660	577	483	440	441	194
ENSG00000004700	343	504	404	416	294
ENSG00000004766	218	235	175	163	162
ENSG00000004776	19	3	5	3	4
ENSG00000004777	199	94	78	76	25
ENSG00000004779	163	254	216	252	128
ENSG00000004799	10222	10224	10846	19255	11341
ENSG00000004809	0	0	0	0	0
ENSG00000004838	40	41	25	35	10
ENSG00000004846	0	0	1	1	0
ENSG00000004848	0	0	0	0	0
ENSG00000004864	861	888	801	900	622
ENSG00000004866	423	460	350	424	264
ENSG00000004897	2071	1925	1455	1459	1577
ENSG00000004939	1	2	0	1	0
ENSG00000004948	2	2	2	1	0
ENSG00000004961	790	955	941	1038	796
ENSG00000004975	533	394	388	356	263
ENSG00000005001	0	0	0	1	1
ENSG00000005007	263	322	339	561	352
ENSG00000005020	297	304	280	265	208
ENSG00000005022	3292	4778	4937	5552	3650
ENSG00000005059	283	247	236	264	158
ENSG00000005073	22	26	16	53	16
ENSG00000005075	125	143	132	180	75
ENSG00000005100	1428	1550	1382	1595	921
ENSG00000005102	268	224	125	62	5
ENSG00000005108	0	0	0	0	0
ENSG00000005156	506	434	386	375	231
ENSG00000005175	292	433	277	346	219
ENSG00000005187	15	13	5	8	2
ENSG00000005189	288	207	147	121	79
ENSG00000005194	861	834	704	828	473
ENSG00000005206	346	289	205	319	250
ENSG00000005238	90	68	61	68	30
ENSG00000005243	8	3	2	6	2
ENSG00000005249	2	2	3	3	0
ENSG00000005302	607	539	509	507	347
ENSG00000005339	468	607	475	648	367
ENSG00000005379	0	0	0	0	0
ENSG00000005381	0	1	0	2	0
ENSG00000005421	4	1	4	4	1
ENSG00000005436	355	403	216	254	231
ENSG00000005448	337	358	367	398	157
ENSG00000005469	61	64	35	21	26
ENSG00000005471	0	0	0	0	0
ENSG00000005483	789	733	526	740	669
ENSG00000005486	327	316	333	398	160
ENSG00000005513	0	0	0	0	0
ENSG00000005700	2823	2263	2140	2334	1778
ENSG00000005801	513	558	491	604	565
ENSG00000005810	1518	1691	1394	1396	1063
ENSG00000005812	2092	1658	1485	1571	998
ENSG00000005844	3	2	0	2	4
ENSG00000005882	170	128	162	144	26
ENSG00000005884	791	1003	1162	1742	1093
ENSG00000005889	2153	1715	1070	1242	1005
