hpi_0	hpi_0_5	hpi_1	hpi_2	hpi_4	log2_fold_change_4hpi	log10_abundance_4hpi	hsf1_target
FKBP4	690.470321991494	854.537985029876	919.524580077345	1041.63558431185	1558.24444353252	1.1742702577574	3.01589030163687	yes
UPF1	225.2939891757	284.839386162164	355.035231294462	515.757844180797	482.431293864956	1.09851467044839	2.51809253817983	unknown
ITGA3	677.620147110729	887.269115629754	1216.95496077357	1601.52989110185	1497.94408844291	1.14443510058408	3.00324095671096	unknown
C19orf60	12.8376901459506	14.1440334601493	9.42954638707912	28.4934845453864	26.0673753044738	1.02185968156363	1.26229209697786	unknown
TNFRSF12A	201.306995555623	434.341037630206	520.507062505759	677.566379708169	559.177199400144	1.47390822786785	2.52570416090292	unknown
PROM1	8.55426177392838	8.83624928638515	7.3349767592002	11.0254850713819	20.5855613133657	1.26691752589183	1.12287262488452	unknown
TSR3	46.248201435027	39.7982007487783	59.6994362349309	98.3653674273304	105.554101560343	1.19051347290255	1.84428498074293	unknown
CRAMP1L	132.772726951486	129.145355990804	128.820577469067	214.205572246374	297.418845278448	1.16353723249734	2.29823867912735	unknown
CDK11A	67.6651667010558	99.9527240528708	89.0235560800885	128.704469288369	145.297507836581	1.10252471172996	1.99631166068573	unknown
NFIX	13.6943732081122	21.2210540021431	24.0915834660696	26.6547497207126	28.8082873966101	1.07290066193802	1.29802980017846	unknown
UQCRC1	1343.25920519418	1810.81777306964	2041.17224828964	3352.00404520526	4041.52270564381	1.58916122818066	3.36735242423321	unknown
PHLDB1	84.7987363216494	76.9524675382604	81.6925259713876	134.220669553984	183.670455774953	1.11500491018635	2.09621434204909	unknown
SAMD4A.1	48.8182375953393	45.9905797066472	72.2669159511252	200.415071881687	167.224906358168	1.77629761946939	1.95594152908711	unknown
STRAP	1944.64738848416	2665.36566843358	2629.74926941377	3513.81258044812	4752.79280418238	1.28926692589653	3.48289487328295	unknown
GCLM	605.659167755405	812.075977760595	979.220114225912	1154.71768569985	1651.43590141221	1.44714291778879	3.00004500857948	unknown
RTEL1-TNFRSF6B	17.9777820079562	31.8365690318733	40.8482179829947	36.7677894685477	49.3651740509847	1.45727857314513	1.47407839130413	unknown
CD44	1891.53333241643	2223.93771835893	2866.43682595639	4376.17852394746	6404.20025851909	1.75946222180505	3.54163945129178	unknown
BRD9	944.903784465988	1304.81218689841	1557.32423450816	2346.21689997557	2279.10777977358	1.27022981332586	3.16657622599929	unknown
FAM13B	801.838504251989	959.808378031042	957.227022697102	1264.12232036591	1614.43341078163	1.00964433409192	3.05605352197532	unknown
NSUN2	8684.13575928327	8154.4647263823	9792.16608028386	13629.6041327483	22919.6452661183	1.40013053034036	4.14946724790922	unknown
TRIO	3010.35522301796	2537.9796467711	3497.95274010288	8024.22550020125	12220.4436085051	2.02129101600771	3.78285235841768	unknown
GPM6B	33.3980179380576	21.2210540021431	39.8009281640168	40.4452576992723	76.7743997538648	1.20086284174764	1.70446856165688	unknown
WDR37	95.935555975161	152.145610924726	157.097408883798	259.254539954425	328.939484284177	1.77768467640617	2.24954780197836	unknown
FAM184B	30.8279803916045	32.7211949046132	43.9900875115866	35.8484223629555	75.403938011958	1.29039949256557	1.68316955090332	unknown
NOP16	200.450317209559	264.493007467207	326.758399415306	360.384875159945	415.278626844407	1.05083492191791	2.46017316384571	unknown
NFE2L3	71.091880745665	39.7982007487783	58.6521462808512	70.7843646256892	175.447681019894	1.30328417184528	2.04798381800134	unknown
MRTO4	920.060113056092	958.923752879875	1331.10957872963	1459.94742273359	1858.37575645846	1.01424220932756	3.11647486727891	unknown
RELT	59.0983812125561	98.1834735948309	124.63141728111	203.17317195682	131.592884327573	1.15489096116221	1.94540399562549	unknown
ZNF280C	52.2449522958211	56.6060850288418	80.6452359618129	85.4942329841011	132.963346653812	1.34766503849408	1.9208881373127	unknown
DCBLD2	256.991087726775	263.608382305726	307.907178172587	498.289877265898	535.879335187579	1.06018985466687	2.56949253623679	unknown
UNKL	96.7922343963231	104.375850174761	90.0708461009522	164.559770775089	216.561555516442	1.16181394489193	2.16071093882366	unknown
PARP12	327.238711139932	337.032270509567	458.716948288678	558.048711437302	735.966875496045	1.169297410806	2.69086147073587	unknown
MXD1	177.320001783419	124.722229998815	140.340768018158	117.672068700942	645.516343429915	1.86409834057434	2.52933248468543	unknown
CTDP1	83.9420578709553	130.914606383072	135.104317763168	179.269637928802	193.263693091304	1.20310489841367	2.10506494307408	unknown
ACAA1	107.929053731041	89.3372212117504	123.584127235228	137.898136388841	237.118493288832	1.13552490521757	2.2040518980435	unknown
SFSWAP	875.512840178827	818.268353821047	997.024045463826	1417.65655555716	1844.6711302947	1.07516339184088	3.10409073537513	unknown
POLD1	599.662419473762	866.038111997728	587.533627105143	1514.19005671968	1555.50351830101	1.37515919020706	2.98488891521807	unknown
PDIA5	119.065872855421	162.761113104516	169.664889572614	248.222139716541	278.232369495374	1.22453031114861	2.26009747719631	unknown
SPEN	1306.42203726448	1924.04979233909	2278.90709489751	2838.99743914465	3211.02235945125	1.29741167888852	3.31136341368353	unknown
METTL22	91.652163842127	103.4912249529	130.915157565557	171.914704358644	191.893230611382	1.06606297141574	2.12260118863321	unknown
PYGM	17.1211009082563	22.9903073314386	23.0442941216068	16.541702569589	60.3288614531022	1.81707288376551	1.50702840807928	unknown
UFD1L	208.160422317447	355.609398802764	282.772216531329	362.223608523788	500.247307620794	1.26494570330623	2.50879146010907	unknown
JMJD6	126.775978308852	120.299103989237	174.901339867663	231.673539340426	468.726667913215	1.88646547091014	2.38697831687431	yes
