hpi_0	hpi_0_5	hpi_1	hpi_2	hpi_4
ENSG00000000003	362	353	311	227	88
ENSG00000000005	1	0	0	0	0
ENSG00000000419	1507	811	859	844	320
ENSG00000000457	85	67	58	75	49
ENSG00000000460	512	455	372	374	216
ENSG00000000938	0	0	1	0	0
ENSG00000000971	0	0	1	0	4
ENSG00000001036	422	705	448	330	127
ENSG00000001084	789	745	705	705	328
ENSG00000001167	434	490	386	338	136
ENSG00000001460	35	64	49	27	9
ENSG00000001461	519	406	431	350	97
ENSG00000001497	581	968	624	557	299
ENSG00000001561	0	0	0	0	0
ENSG00000001617	261	466	429	301	83
ENSG00000001626	5	4	1	3	1
ENSG00000001629	683	653	565	511	246
ENSG00000001630	2	5	4	7	2
ENSG00000001631	657	456	473	514	265
ENSG00000002016	85	87	48	29	28
ENSG00000002079	1	1	3	2	0
ENSG00000002330	43	19	29	21	8
ENSG00000002549	249	235	168	136	40
ENSG00000002586	0	1	1	0	0
ENSG00000002587	1	2	5	3	0
ENSG00000002726	0	0	0	0	0
ENSG00000002745	0	0	0	0	1
ENSG00000002746	38	49	32	32	3
ENSG00000002822	33	126	69	60	33
ENSG00000002834	1226	1996	1447	1016	165
ENSG00000002919	150	139	153	165	61
ENSG00000002933	0	0	0	0	0
ENSG00000003056	561	740	542	520	158
ENSG00000003096	259	260	260	238	61
ENSG00000003137	262	215	293	419	149
ENSG00000003147	6	8	6	5	2
ENSG00000003249	11	18	22	8	0
ENSG00000003393	221	191	146	149	85
ENSG00000003400	39	46	36	40	8
ENSG00000003402	80	120	117	107	22
ENSG00000003436	218	246	192	228	88
ENSG00000003509	115	151	97	89	31
ENSG00000003756	398	431	352	461	320
ENSG00000003987	18	11	11	27	6
ENSG00000003989	1762	1446	1787	2064	814
ENSG00000004059	81	122	91	63	7
ENSG00000004139	24	49	36	38	9
ENSG00000004142	776	1637	1098	650	105
ENSG00000004399	231	387	322	221	65
ENSG00000004455	4613	3010	3417	3367	1551
ENSG00000004468	0	0	0	0	0
ENSG00000004478	1017	1529	975	766	364
ENSG00000004487	959	917	768	738	333
ENSG00000004534	683	659	454	460	393
ENSG00000004660	608	627	432	218	115
ENSG00000004700	347	412	268	290	109
ENSG00000004766	199	212	162	145	58
ENSG00000004776	3	2	2	2	0
ENSG00000004777	54	68	59	53	6
ENSG00000004779	201	261	166	104	30
ENSG00000004799	4256	3706	4088	3835	1230
ENSG00000004809	0	0	0	0	0
ENSG00000004838	9	22	13	14	6
ENSG00000004846	0	0	0	0	0
ENSG00000004848	0	0	0	0	0
ENSG00000004864	573	588	447	404	163
ENSG00000004866	246	273	219	196	82
ENSG00000004897	1246	1005	974	839	407
ENSG00000004939	0	0	1	0	0
ENSG00000004948	0	0	1	0	0
ENSG00000004961	587	604	552	473	244
ENSG00000004975	167	251	154	130	63
ENSG00000005001	1	0	0	0	1
ENSG00000005007	153	414	269	272	129
ENSG00000005020	172	173	173	148	37
ENSG00000005022	3233	3805	2780	2391	650
ENSG00000005059	199	116	149	118	33
ENSG00000005073	12	27	19	12	6
ENSG00000005075	27	45	38	22	2
ENSG00000005100	807	900	714	628	303
ENSG00000005102	209	245	136	16	1
ENSG00000005108	0	0	0	0	0
ENSG00000005156	221	269	211	189	59
ENSG00000005175	349	392	243	249	103
ENSG00000005187	9	4	7	5	1
ENSG00000005189	101	146	105	86	28
ENSG00000005194	544	551	427	324	127
ENSG00000005206	129	224	155	131	34
ENSG00000005238	46	66	55	27	14
ENSG00000005243	0	3	2	2	0
ENSG00000005249	2	2	1	1	0
ENSG00000005302	473	455	308	321	102
ENSG00000005339	234	447	346	392	194
ENSG00000005379	0	0	0	0	0
ENSG00000005381	0	0	0	0	0
ENSG00000005421	2	3	4	2	0
ENSG00000005436	340	222	234	234	112
ENSG00000005448	260	375	245	150	38
ENSG00000005469	70	64	43	38	8
ENSG00000005471	0	1	1	0	0
ENSG00000005483	488	676	423	477	274
ENSG00000005486	134	273	197	93	22
ENSG00000005513	0	0	0	0	0
ENSG00000005700	1829	1167	1168	1322	610
ENSG00000005801	426	371	392	393	318
ENSG00000005810	880	981	820	797	471
ENSG00000005812	806	608	778	777	453
ENSG00000005844	0	0	0	0	0
ENSG00000005882	138	240	149	82	7
ENSG00000005884	566	866	724	674	355
ENSG00000005889	2069	1164	790	802	460
ENSG00000005893	1215	1141	1047	1078	441
ENSG00000005955	598	648	475	515	239
ENSG00000005961	3	5	6	4	3
ENSG00000005981	0	1	1	1	0
ENSG00000006007	229	287	205	225	67
ENSG00000006015	9	18	10	7	2
ENSG00000006016	1	4	4	1	0
ENSG00000006025	62	134	61	50	24
ENSG00000006042	0	0	0	0	0
ENSG00000006047	2	2	1	4	3
ENSG00000006059	0	0	0	0	0
ENSG00000006062	173	224	252	230	127
ENSG00000006071	23	37	40	68	24
ENSG00000006074	0	0	0	0	0
ENSG00000006075	0	0	0	0	0
ENSG00000006114	371	312	280	205	138
ENSG00000006116	1	4	1	0	0
ENSG00000006118	187	213	193	174	49
ENSG00000006125	1277	1897	1503	1014	214
ENSG00000006128	0	0	0	0	0
ENSG00000006194	270	393	322	416	159
ENSG00000006210	0	0	0	1	1
ENSG00000006282	13	14	15	9	3
ENSG00000006283	0	0	0	0	0
ENSG00000006327	143	355	392	835	408
ENSG00000006377	0	0	0	0	0
ENSG00000006432	53	72	51	38	22
ENSG00000006451	320	381	291	285	119
ENSG00000006453	236	328	323	294	119
ENSG00000006459	107	108	121	119	86
ENSG00000006468	0	0	0	0	0
ENSG00000006530	210	224	176	130	80
ENSG00000006534	295	637	413	203	47
ENSG00000006555	0	0	0	0	0
ENSG00000006576	924	611	641	870	516
ENSG00000006606	4	5	4	5	3
ENSG00000006607	36	76	40	51	22
ENSG00000006611	408	332	290	205	16
ENSG00000006625	292	294	240	230	85
ENSG00000006634	401	401	341	233	107
ENSG00000006638	22	16	26	12	9
ENSG00000006652	677	574	476	413	277
ENSG00000006659	0	0	1	0	0
ENSG00000006695	114	172	139	92	29
ENSG00000006704	1102	577	671	560	159
ENSG00000006712	264	518	338	260	74
ENSG00000006715	264	362	267	165	60
ENSG00000006740	53	37	34	25	8
ENSG00000006744	575	854	668	498	152
ENSG00000006747	8	3	6	2	1
ENSG00000006756	50	57	34	51	14
ENSG00000006757	116	230	186	124	29
ENSG00000006788	0	0	0	0	1
ENSG00000006831	2048	2060	1874	1972	926
ENSG00000006837	23	14	12	8	10
ENSG00000007001	0	0	0	0	0
ENSG00000007038	491	594	540	408	87
ENSG00000007047	39	63	58	26	3
ENSG00000007062	2	0	2	0	0
ENSG00000007080	105	192	203	125	17
ENSG00000007129	0	0	0	0	0
ENSG00000007168	1797	1283	1225	1086	686
ENSG00000007171	0	0	1	0	0
ENSG00000007174	0	0	0	0	1
ENSG00000007202	1432	1894	1371	1396	414
ENSG00000007216	0	0	0	0	0
ENSG00000007237	14	28	19	8	2
ENSG00000007255	3	10	5	7	1
ENSG00000007264	106	252	164	172	39
ENSG00000007306	0	0	0	0	0
ENSG00000007312	0	0	0	0	0
ENSG00000007314	14	13	17	7	0
ENSG00000007341	221	233	243	203	72
ENSG00000007350	0	0	0	0	0
ENSG00000007372	201	136	147	68	37
ENSG00000007376	89	139	123	69	13
ENSG00000007384	25	57	42	28	19
ENSG00000007392	244	209	187	210	127
ENSG00000007402	2	1	1	2	2
ENSG00000007516	13	10	9	13	6
ENSG00000007520	36	98	91	97	24
ENSG00000007541	146	222	198	96	25
ENSG00000007545	65	109	77	60	51
ENSG00000007866	85	125	89	53	30
ENSG00000007908	0	0	0	0	0
ENSG00000007923	239	485	280	263	112
ENSG00000007933	0	0	0	0	1
ENSG00000007944	65	66	47	20	20
ENSG00000007952	0	5	3	3	1
ENSG00000007968	270	383	293	186	91
ENSG00000008018	1290	2097	1329	1248	320
ENSG00000008056	0	1	2	1	0
ENSG00000008083	103	217	144	112	31
ENSG00000008086	41	61	56	59	21
ENSG00000008118	0	0	0	0	0
ENSG00000008128	53	131	106	89	35
ENSG00000008130	339	555	377	408	191
ENSG00000008196	0	0	0	0	0
ENSG00000008197	0	0	0	0	0
ENSG00000008226	1	7	3	1	0
ENSG00000008256	162	196	167	173	95
ENSG00000008277	52	48	41	50	15
ENSG00000008282	1028	658	844	645	339
ENSG00000008283	816	839	700	571	185
ENSG00000008294	661	893	702	909	445
ENSG00000008300	186	207	221	267	142
ENSG00000008311	5	3	1	1	0
ENSG00000008323	13	26	20	12	1
ENSG00000008324	40	37	50	30	7
ENSG00000008382	18	53	24	22	3
ENSG00000008394	1180	1142	925	918	265
ENSG00000008405	1739	735	904	1616	860
ENSG00000008438	3	4	2	1	2
ENSG00000008441	9	16	19	10	7
ENSG00000008513	187	294	244	226	123
ENSG00000008516	5	4	1	5	5
ENSG00000008517	50	52	60	72	7
ENSG00000008710	225	455	334	338	144
ENSG00000008735	0	1	0	1	0
ENSG00000008838	455	709	546	446	130
ENSG00000008853	263	584	374	176	38
ENSG00000008869	162	226	187	135	76
ENSG00000008952	1187	1282	1060	1066	402
ENSG00000008988	337	820	529	424	134
ENSG00000009307	4597	5438	4417	3817	1483
ENSG00000009335	1384	1606	1259	1466	779
ENSG00000009413	1476	878	1139	1087	707
ENSG00000009694	2	2	0	2	1
ENSG00000009709	0	0	0	0	0
ENSG00000009724	11	8	16	44	12
ENSG00000009765	0	1	0	0	0
ENSG00000009780	340	113	159	121	108
ENSG00000009790	19	22	13	9	7
ENSG00000009830	203	249	241	272	160
ENSG00000009844	527	557	455	351	98
ENSG00000009950	89	207	146	114	38
ENSG00000009954	1180	1679	1093	1218	614
ENSG00000010017	289	381	325	309	121
ENSG00000010030	0	0	0	0	0
ENSG00000010072	218	172	161	168	139
ENSG00000010165	199	376	225	177	69
ENSG00000010219	73	56	36	27	21
ENSG00000010244	1580	1832	1631	1670	779
ENSG00000010256	726	1183	952	1006	212
ENSG00000010270	121	117	109	107	48
ENSG00000010278	386	486	496	558	226
ENSG00000010282	2	0	0	0	0
ENSG00000010292	2315	2673	2005	1259	338
ENSG00000010295	0	0	1	5	2
ENSG00000010310	1	1	1	1	0
ENSG00000010318	34	17	19	13	2
