hpi_0,hpi_0_5,hpi_2,hpi_6,hpi_18,log2_fold_change_6hpi,log10_abundance_6hpi,hsf1_target
TFPI,267.861761868812,310.983531921672,476.446127399031,640.659609953613,265.457544664996,1.2580693929184,2.6172690330413,unknown
RBM5,134.455898487423,97.8039756254836,151.544174028601,310.69713224233,801.145847271806,1.20837587870422,2.31045855193967,unknown
MAP3K14,159.059439943414,121.268707102451,397.550243446605,380.998415863202,208.248174834382,1.26021900296849,2.39124130944554,unknown
RHBDF1,16.3587934100226,20.4202149309715,20.4650980548929,36.2953739317159,156.239708507467,1.14971933752524,1.38680127146981,unknown
LUC7L,214.280719660048,255.566834892669,280.138257718001,641.793501633141,920.765597100325,1.58260713548175,2.56918920584367,unknown
CDK11A,72.6736643034926,80.3302376922799,96.2549249293276,149.684517443355,260.256691380107,1.04242044865861,2.01827697002467,unknown
CELSR3,28.9339929547619,29.9059897244077,56.4963539516656,86.1865890994936,177.043086197059,1.57469796685618,1.69842403244639,unknown
CLCN6,22.3730270358397,14.4291775984728,21.7075586328365,45.3665009134507,78.2273191638699,1.01986692591495,1.50323001558449,unknown
PLAUR,160.699676011635,201.148636035412,303.74490049416,428.62186619134,234.252428910678,1.41533843075424,2.41904466201491,unknown
ANLN,1243.80214084174,1369.39249481679,1424.43918179463,3080.79450997341,3495.19086203267,1.30854545188252,3.29170701584228,unknown
MAP4K3,155.232222438743,179.680905799593,192.545187174375,401.40846599362,244.654133040483,1.37064298744122,2.39728420154829,unknown
MAP4K5,253.646383412682,289.016552994044,356.549232729535,557.885517384611,515.098643705278,1.13715050963137,2.57538688085226,unknown
CLK1,296.292518641392,236.595352851364,541.053780201549,1762.0784831012,5117.85894078148,2.57218407947353,2.85887296686855,unknown
MTMR11,11.9847846956061,11.4336433398254,11.1466058826923,35.1614832901867,78.2273191638699,1.55279194050315,1.31234871197976,unknown
FHL1,10.3445222155757,11.4336433398254,29.1623121259032,23.8225821905333,10.6218116876805,1.2034627863731,1.19584963530457,unknown
CD44,699.790559391139,672.440179808177,703.194139194643,1447.99048709789,1107.99651547098,1.04905701736938,3.00286689397936,unknown
CENPQ,140.470097595644,129.755949995679,193.166414636321,282.349840560454,286.260959963998,1.00722076550213,2.29918571549623,unknown
CDH10,88.5292838453058,86.8204834500276,86.3152835332482,242.663632358403,57.4242399629891,1.45473125408847,2.16604582257834,unknown
MED17,236.69727825425,276.53531492649,450.354575261108,722.29981090635,665.923526959585,1.60955467585183,2.61645538261837,unknown
WDR37,100.557683697326,114.279212815982,181.984320283379,229.056932458961,203.047325308556,1.18768290360405,2.18117935066896,unknown
POLR2B,1058.45548160131,1050.87130816491,1516.38084086394,2293.87368220335,2257.38637306092,1.11582535679629,3.19262104757073,unknown
POLQ,435.16582900682,374.887470238707,395.686561144125,912.793613277606,764.739837255651,1.06872342252846,2.7995136890824,unknown
NOP58,1942.54264325484,2048.37182632318,3359.56261315417,4559.38926429537,3313.16078953848,1.23089431714977,3.47363861681219,unknown
EIF2AK2,920.675664027129,899.598706851407,1112.58301375541,1979.78568613482,1664.48843115418,1.10457934774337,3.13036242184451,unknown
DCBLD2,115.866555309203,150.225182274972,177.635728011522,303.893782232063,109.432190330864,1.39110296226037,2.27333995501249,unknown
UNKL,39.3221741377143,36.3962466895988,62.0874041995365,87.3204806023531,151.03886661954,1.15097697975379,1.76787681974059,unknown
DNAJC25,259.660581996757,291.013551081943,351.579413238662,602.107292857119,884.359585913364,1.21339357072259,2.59703995684346,unknown
ACAA1,18.5457899784796,20.4202149309715,39.7231975413833,45.3665009134507,31.4210316057832,1.2905356675741,1.46249031052047,unknown
U2AF2,776.881647941987,786.768317658556,1200.17608089665,1883.40489312299,2241.78379555704,1.277576446129,3.08264927837146,unknown
AHRR,59.0050243620232,56.8654989904456,93.7700146313442,137.211709661174,177.043086197059,1.21749389414603,1.95414008484943,unknown
LPAR2,8.70425079324966,10.9343858253106,8.04040443632226,29.4920312594228,156.239708507467,1.76053316094968,1.2047180406486,unknown
SLC12A2,178.195527236469,190.664395726621,306.851037694616,363.990040768297,78.2273191638699,1.03043785177082,2.40599314993546,unknown
DIP2B,266.768271220176,263.05557777459,330.457680373398,675.810252024177,613.914944588022,1.34103115028439,2.62797947504731,unknown
PDK3,32.761219065524,39.8909986792879,48.4203911100076,85.0526976014014,104.231366775143,1.37636795275263,1.7225240731839,unknown
SPTB,9.25100918809188,4.94319507357006,10.5253683784863,26.0903613420454,26.2206361717976,1.4958342628702,1.19133460313007,unknown
NOTCH3,7.61072908033152,6.94029022971442,9.90412971842931,26.0903613420454,5.4256168370022,1.77741035466607,1.14895317828387,unknown
NAALAD2,6.51719851972663,5.94174916275404,9.90412971842931,39.6970462079059,57.4242399629891,2.60670781626591,1.20640957151138,unknown
EDN1,46.4298718961789,149.2266831549,70.1633647169714,178.031808236228,171.842240436885,1.93900981930621,1.95864754416285,unknown
RFX3,21.2795314352414,10.9343858253106,11.1466058826923,55.5715212703162,67.8257526020168,1.38487935084616,1.53640717326876,unknown
KIAA0020,930.517079571383,1063.35254589226,1657.39946657848,1944.6350439772,1264.02228408751,1.06339488911567,3.12878122841246,unknown
CHRNA3,6.51719851972663,7.93882226027273,11.1466058826923,35.1614832901867,52.223513694957,2.43167208545465,1.18006406886781,unknown
CPOX,137.189625362755,149.2266831549,177.014500542942,329.973290624179,171.842240436885,1.26617786633755,2.32790002893789,unknown
HSP90AA1,5698.13615455945,6526.63991423947,11887.7727110594,24344.6652383022,11468.1080763556,2.09504366257462,4.07106831464121,yes
BZW1,1815.15098675037,2011.427362707,2791.76074610274,4076.35140742849,2897.09205300078,1.16718886779091,3.43459218599083,unknown
CCNT2,179.835763274732,167.199667127126,191.302732249775,384.400090883753,712.731252355932,1.09592872438447,2.41982977210206,unknown
PDS5B,379.397806954283,383.374712014212,443.521073505529,884.446321248553,733.53468618668,1.22106324611527,2.76288314803488,unknown
CHMP2B,224.122135653437,273.539817785316,328.593998059307,473.977533236199,286.260959963998,1.08053353115695,2.51312125429446,unknown
DNAJA1,3280.97515411581,4035.3848688927,6214.72386111021,12090.6978216855,6797.73647466644,1.88170093908239,3.79922715437734,yes
ESF1,652.22371748035,709.38464358561,860.985905846499,1393.56368635323,1087.19307984789,1.09534012626865,2.97926170418362,unknown
PABPC4,2069.38755444209,2349.9185293276,4279.60043047881,4367.76156990369,2319.79668310951,1.07769024556075,3.4780503778312,unknown
RBM27,416.029743032138,386.86945862589,518.068365277868,921.864746727454,1066.38964427847,1.14786842420798,2.79189579394286,unknown
LAMB4,25.6535113708474,17.4246997807107,24.1924780807749,77.1154572657695,47.0228160862987,1.58786375663007,1.64814412824724,unknown
XYLB,27.8404993409798,24.4142284839144,31.0259987133276,70.3121086640951,88.6289209244139,1.33658807436085,1.64585357153192,unknown
